und, 1, f
bacch, 2, m
neptun, 2, m
bubon, 3, m, bubo
vid, 2, v, ai
reg, 3, v, ai
minerv, 1, f
de, 1, f
de, 2, m
bell, 2, n
scut, 2, n
host, 3, m, hostis
mart, 3, m mars
ger, 3, v, ai
hast, 1, f
mercuri, 2, m
fulmin, 3, n, fulmen
iov, 3, m, iuppiter
itiner, 3, n, iter
contorqu, 3, v, ai
nemin, 3, m, nemo
approprinqu, 1, v, ai
rog, 1, v, ai
