puer, pueri, puero, puerum, puero, pueri, puerum, pueris, pueros, pueris
amo, amas, amat, amamus, amatis, amant
urbs, urbis, urbi, urbem, urb, urbes, urbium, urbibus, urbes, urbibus
video, vides, videt, videmus, videtis, vident
