silv, 1, f
umbr, 1, f
cael, 2, n
vent, 2, m
animal, 3, n, animal, '', '', '', animali, animalia, animalium, animalibus, animalia, animalibus
ign, 3, m, ignis
pont, 3, m, pons
homin, 3, m, homo
mont, 3, m, mons
arbor, 3, f
flumin, 3, n, flumen
imbr, 3, m, imber, '', '', '', '', imbres, imbrium
perfl, 1, v, ai
del, 2, v, ai
ascend, 3, v, ai
flu, 3, v, ai
descend, 3, v, ai
ex, 3, v, ai, exeo, exis, exit, eximus, exitis, exeunt
