femina, feminae, feminae, feminam, femina, feminae, feminarum, feminis, feminas, feminis
puer, pueri, puero, puerum, puero, pueri, puerum, pueris, pueros, pueris
urbs, urbis, urbi, urbem, urb, urbes, urbium, urbibus, urbes, urbibus
