sen, 3, m, senex
psittac, 2, m
iuven, 3, m, iuvenis
puls, 1, v, ai
soci, 2, m
comit, 3, m, comes
contubernal, 3, m, contubernalis
sententi, 1, f
sci, 4, v, ai
