gemm, 1, f
anul, 2, m
fur, 3, m, fur
concupisc, 3, v, ai
trad, 3, v, ai
stol, 1, f
tog, 1, f
calce, 2, m
preti, 2, n
emptor, 3, m, emptor
aestim, 1, v, ai
em, 3, v, ai
vend, 3, v, ai
